treat,lninc,gender,age,age2,hukou,fedu,medu,party
1,7.6009026,0,43,1849,1,16,16,0
0,6.2146082,0,61,3721,1,6,6,0
1,7.4383836,0,47,2209,1,14,12,1
1,8.0063677,0,40,1600,1,6,6,1
1,7.377759,0,53,2809,1,0,9,1
0,6.2146082,1,66,4356,1,0,0,1
0,7.0030656,0,67,4489,1,3,0,0
0,5.7037826,0,47,2209,1,6,0,0
1,,1,24,576,1,16,14,0
1,6.6846118,1,51,2601,1,3,6,1
0,6.9077554,1,47,2209,1,0,0,1
0,6.9077554,1,39,1521,1,12,14,1
0,,1,50,2500,1,0,0,1
0,6.9077554,0,56,3136,1,3,0,1
0,,1,39,1521,1,6,6,0
0,5.857933,0,40,1600,1,9,9,0
1,6.937314,1,54,2916,1,6,6,0
0,6.3969297,1,48,2304,1,12,6,0
0,5.3752785,0,49,2401,1,0,,0
1,7.2442274,0,39,1521,1,9,12,1
0,6.3969297,0,50,2500,1,6,6,0
0,6.2146082,1,47,2209,1,3,3,0
0,6.9077554,0,44,1936,1,0,0,0
1,7.3132205,1,47,2209,1,16,16,0
1,4.4543471,0,46,2116,1,6,0,0
0,6.9077554,0,50,2500,1,3,0,1
0,6.1092477,0,32,1024,1,6,6,0
0,5.7365723,0,56,3136,1,0,0,0
0,9.2103405,0,46,2116,1,14,0,0
0,6.3099184,1,61,3721,1,6,6,0
0,5.9914646,1,39,1521,1,6,0,0
0,7.0900769,0,69,4761,1,12,,1
0,6.5510802,0,37,1369,1,6,6,0
1,6.9077554,0,49,2401,1,6,0,1
1,6.6846118,0,65,4225,1,12,6,0
1,7.3132205,0,68,4624,1,14,6,1
1,7.0900769,1,20,400,1,9,9,0
1,7.6009026,1,41,1681,1,14,12,0
0,5.2983174,0,44,1936,1,0,0,0
1,7.4383836,0,68,4624,1,3,3,1
0,6.6846118,0,67,4489,1,3,0,0
0,7.0900769,0,68,4624,1,12,6,0
0,6.9077554,1,45,2025,1,14,14,0
1,,1,21,441,1,12,14,0
0,,0,50,2500,1,9,0,0
0,6.2146082,0,42,1764,1,0,0,0
0,5.0106354,0,36,1296,1,9,12,0
0,6.9077554,0,58,3364,1,12,0,1
0,6.2146082,0,41,1681,1,6,0,0
0,6.8023949,1,47,2209,1,16,0,1
0,6.1092477,1,44,1936,1,0,0,0
0,5.1119876,1,47,2209,1,0,0,0
1,,0,46,2116,1,12,12,1
0,6.9077554,0,49,2401,1,9,9,0
0,6.9127426,0,47,2209,1,0,0,0
1,,1,22,484,1,9,9,0
0,,1,19,361,1,12,12,0
1,8.0063677,0,35,1225,1,12,9,0
0,,1,66,4356,1,0,0,0
1,6.1092477,0,58,3364,1,14,12,1
1,7.0900769,0,48,2304,1,3,0,0
0,6.5510802,0,41,1681,1,6,6,0
1,8.0063677,0,39,1521,1,9,6,0
0,5.9914646,1,45,2025,1,0,0,0
0,6.5510802,0,44,1936,1,6,0,0
0,5.857933,0,57,3249,1,3,0,0
0,,0,48,2304,1,3,0,0
0,,0,22,484,1,9,12,0
1,7.6009026,1,34,1156,1,16,16,0
1,,1,19,361,1,12,12,0
0,6.5510802,1,41,1681,1,9,0,0
1,,1,33,1089,1,16,12,0
1,7.6009026,0,33,1089,1,0,0,0
0,5.9914646,0,50,2500,1,3,0,0
0,6.5510802,0,62,3844,1,3,0,0
0,6.2146082,1,53,2809,1,0,0,0
0,5.484797,0,37,1369,1,6,0,0
1,6.9077554,1,45,2025,1,14,9,0
0,5.9914646,1,43,1849,1,16,0,0
0,6.2480431,0,56,3136,1,0,0,0
0,5.0106354,0,54,2916,1,0,0,0
0,6.3969297,0,50,2500,1,14,6,1
0,5.9914646,1,52,2704,1,6,6,0
1,7.0900769,1,25,625,1,14,12,0
0,,1,40,1600,1,6,6,0
1,8.0063677,0,27,729,1,12,12,0
0,6.6846118,0,57,3249,1,9,12,0
0,6.9077554,0,27,729,1,9,9,0
0,,0,21,441,1,9,9,0
0,6.9077554,1,60,3600,1,0,0,0
1,7.2004247,1,56,3136,1,6,0,0
0,7.1701198,1,59,3481,1,0,0,1
1,6.9077554,1,59,3481,1,3,0,0
0,6.3969297,0,64,4096,1,3,0,1
0,6.9275579,0,42,1764,1,6,9,1
1,,0,25,625,1,9,6,0
0,5.480639,1,40,1600,1,0,0,0
0,6.2304816,1,53,2809,1,9,0,0
0,5.484797,1,44,1936,1,9,9,0
0,6.9077554,0,51,2601,1,6,0,0
0,,0,55,3025,1,6,6,0
0,6.3969297,0,47,2209,1,6,6,0
0,6.3969297,0,44,1936,1,6,6,0
0,5.484797,1,39,1521,1,0,0,0
0,,1,66,4356,1,0,0,0
1,7.2004247,0,55,3025,1,0,0,1
0,7.3132205,0,66,4356,1,3,0,0
0,7.0900769,0,56,3136,1,0,0,1
0,,0,43,1849,1,6,0,0
0,6.9077554,1,29,841,1,9,9,0
0,,1,18,324,1,12,12,0
0,6.877296,0,22,484,1,9,6,0
0,6.9077554,1,39,1521,1,6,0,0
0,6.3969297,0,66,4356,1,6,0,0
0,6.6846118,0,44,1936,1,3,0,1
0,6.3969297,1,65,4225,1,3,0,1
1,6.3099184,1,57,3249,1,3,3,0
0,6.50279,1,68,4624,1,9,0,1
0,6.2146082,1,52,2704,1,0,0,0
0,6.3969297,0,62,3844,1,3,0,0
1,6.8351846,0,62,3844,1,14,6,1
0,6.84588,0,70,4900,1,3,0,0
0,5.9914646,1,41,1681,1,9,,0
0,,1,67,4489,1,6,6,1
0,5.9914646,1,59,3481,1,3,0,0
0,6.9077554,0,57,3249,,0,0,0
1,7.3132205,0,68,4624,1,3,3,1
0,6.9077554,0,46,2116,1,6,0,1
1,6.3969297,1,42,1764,1,9,6,0
1,7.0030656,1,64,4096,1,0,0,0
0,5.2983174,1,40,1600,1,6,0,0
0,6.8394766,0,65,4225,1,0,0,1
0,7.7406645,0,47,2209,1,3,0,0
0,7.4383836,0,55,3025,1,12,9,1
0,,1,70,4900,1,0,0,0
1,,1,19,361,1,12,12,0
0,6.8023949,1,21,441,1,14,9,0
1,7.8240461,1,53,2809,1,12,0,1
1,7.2442274,0,56,3136,1,16,6,1
0,6.3969297,0,63,3969,1,3,0,0
0,5.480639,0,56,3136,1,9,9,0
1,7.3132205,0,39,1521,1,6,0,0
1,6.9077554,0,60,3600,1,0,0,1
1,6.877296,0,64,4096,1,0,0,0
0,6.5930448,0,68,4624,1,6,0,1
0,6.6200733,0,49,2401,1,,0,0
0,6.6846118,1,50,2500,1,6,0,0
0,6.1633148,1,49,2401,1,0,0,0
1,7.3132205,1,33,1089,1,9,9,1
0,6.3189683,1,63,3969,1,3,0,0
0,,1,24,576,1,12,9,0
0,6.3699012,0,57,3249,1,3,3,1
0,6.7525272,0,65,4225,1,0,0,0
0,7.6009026,0,53,2809,1,12,0,0
1,7.377759,0,42,1764,1,6,6,1
0,5.7037826,1,46,2116,1,9,6,0
0,,1,18,324,1,12,12,0
0,7.2298388,1,61,3721,1,0,0,0
0,6.7214255,0,61,3721,1,3,0,1
0,7.3264656,0,56,3136,1,9,6,0
0,5.480639,0,53,2809,1,0,0,0
1,6.9077554,0,35,1225,1,14,14,0
1,6.5510802,0,30,900,1,9,9,1
1,6.1092477,0,46,2116,1,9,14,0
0,6.6846118,0,44,1936,1,3,0,1
0,,0,51,2601,1,3,0,0
0,5.7037826,0,33,1089,1,6,6,0
0,6.6846118,0,41,1681,1,3,3,0
0,5.9914646,1,31,961,0,3,0,0
0,6.7452364,1,22,484,1,9,9,0
0,6.8023949,1,57,3249,1,0,0,0
0,6.3099184,1,60,3600,1,3,0,0
0,6.5510802,0,40,1600,1,0,0,0
0,6.9077554,0,35,1225,0,6,6,0
0,,1,44,1936,1,6,12,0
0,,1,41,1681,1,0,0,0
0,5.9914646,1,48,2304,1,3,6,0
0,7.3132205,1,40,1600,1,12,9,0
1,6.9077554,1,27,729,1,12,12,0
0,6.9565454,0,46,2116,1,6,0,0
1,7.8240461,0,29,841,1,9,0,0
0,6.4769726,0,43,1849,1,9,9,0
1,,0,21,441,1,9,14,0
0,6.6846118,1,38,1444,1,12,6,0
0,,1,44,1936,1,6,0,0
0,,1,41,1681,1,0,0,0
0,6.5539336,0,57,3249,1,3,0,1
0,6.5792513,0,57,3249,1,3,0,1
0,5.7037826,0,41,1681,1,6,0,0
0,6.1092477,0,41,1681,1,3,0,0
0,6.3279366,1,57,3249,1,0,0,0
0,,1,40,1600,1,12,6,0
0,7.3993979,0,40,1600,1,6,0,0
0,6.9077554,0,50,2500,1,6,0,0
0,6.4457197,0,68,4624,1,3,0,0
0,5.9914646,1,48,2304,1,9,6,0
0,,1,43,1849,1,6,0,0
0,,1,33,1089,1,3,6,0
